공모전이름,주최사,마감일,링크
2026 농어촌 기본소득 숏폼 공모전_6월,농림축산식품부,정보 없음,정보 없음
2026년 모두가 즐기는 스포츠 백호돌이 굿즈 디자인 공모전,주최사 정보 미상,정보 없음,정보 없음
"[군포시주몽종합사회복지관] 아동, 청소년 멘토링 대학생(휴학생)유급자원봉사자 모집(1명)",군포시주몽종합사회복지관,정보 없음,정보 없음
2026 충청북도 공예품대전,주최사 정보 미상,정보 없음,정보 없음
2026년 모두가 즐기는 스포츠 백호돌이 굿즈 디자인 공모전,서울올림픽기념국민체육진흥공단,정보 없음,정보 없음
[기획예산처] 재정데이터 분석 대학(원)생 경진대회,기획예산처,정보 없음,정보 없음
2026 충청북도 공예품대전,충청북도,정보 없음,정보 없음
내 음악이 영화가 되는 순간! 2026제천뮤직필름마켓 영화음악가 공모,제천국제음악영화제,정보 없음,정보 없음
세계유산 가야고분군 로컬 관광코스 공모전,스마트크리에이터,정보 없음,정보 없음
세계유산 가야고분군 로컬 관광코스 공모전,주최사 정보 미상,정보 없음,정보 없음
2026년 장흥군 정책제안 공모전,장흥군,정보 없음,정보 없음
제24회 한청 문화제 가요제&경연대회 참가자 사전 접수,주최사 정보 미상,정보 없음,정보 없음
2026 구조물 내진설계 경진대회,"부산대학교, (재)국토교통연구인프라운영원",정보 없음,정보 없음
2026 구조물 내진설계 경진대회,주최사 정보 미상,정보 없음,정보 없음
2026 부산광역시 공공데이터•AI 활용 창업경진대회 IDEA,부산광역시,정보 없음,정보 없음
[국세청] 현금영수증 숏폼 영상 공모전,국세청,정보 없음,정보 없음
제4회 문화체육관광 인공지능·데이터 활용 공모전,주최사 정보 미상,정보 없음,정보 없음
현금영수증 숏폼 영상 공모전,주최사 정보 미상,정보 없음,정보 없음
2026 구조물 내진설계 경진대회 신규,"부산대학교, (재)국토교통연구인프라운영원",정보 없음,정보 없음
2026년 파주시 AI 영상 공모전 (프롬프트로 만드는 파주),파주시청,정보 없음,정보 없음
2026년 해양수산 규제합리화 과제 대국민 공모전,해양수산부,정보 없음,정보 없음
[로레알코리아] CREATE YOUR BEAUTY(크리에이트 유어 뷰티) 발달장애 예술인 그림 공모전,로레알코리아,정보 없음,정보 없음
제36회 거창국제연극제 자원활동가 및 관객심사단 모집,거창문화재단,정보 없음,정보 없음
제4회 문화체육관광 인공지능·데이터 활용 공모전,문화체육관광부,정보 없음,정보 없음
2026 제8회 공군 창의ㆍ혁신 아이디어 공모 해커톤,공군,정보 없음,정보 없음
'도서관과 사서 이야기' 영상 공모전,국립중앙도서관,정보 없음,정보 없음
2026 WFK 영상·사진 공모전 〈내 인생의 한 페이지〉,주최사 정보 미상,정보 없음,정보 없음
2026 광명시 도서 제작 지원 작품 공모,하는 출판 관련 행사(광명 아트북페어·출판기념회 등)에 참여에 협조하여야 함,정보 없음,정보 없음
2026 산림치유음식공모전,산림청,정보 없음,정보 없음
2026년 경주시 행복톡톡 아이디어 공모전,경주시,정보 없음,정보 없음
2026년 부산시 꿈드림 학교 밖 청소년 인식개선 미디어 공모전,주최사 정보 미상,정보 없음,정보 없음
2026년 전북 자치경찰 정책공모,주최사 정보 미상,정보 없음,정보 없음
2026년도 제31회 경기도 건축문화상 공모전 (계획작품 부문 / 사용승인 건축물 부문),경기건축문화제 추진위원회,정보 없음,정보 없음
[농심] 농심 메밀소바 짧은 글 공모전,주최사 정보 미상,정보 없음,정보 없음
기후과학클래스 4기,환경재단,정보 없음,정보 없음
2026 광명시 도서 제작 지원 작품 공모,광명시,정보 없음,정보 없음
2026 미생물 신속 검출 아이디어 공모전,마이크로진,정보 없음,정보 없음
2026 보훈문화교육 수업안 경진대회,국가보훈부,정보 없음,정보 없음
2026년 강원특별자치도 규제개선 과제 공모,강원특별자치도,정보 없음,정보 없음
2026년 부산시 꿈드림 학교 밖 청소년 인식개선 미디어 공모전,부산광역시학교밖청소년지원센터,정보 없음,정보 없음
2026년 상반기 부산도시공사 고객제안,부산도시공사,정보 없음,정보 없음
2026년 전국 학생 모의국회 법률 제ㆍ개정안 공모대회,농촌진흥청,정보 없음,정보 없음
도서관과 사서 이야기 영상 공모전,국립중앙도서관,정보 없음,정보 없음
서울 디자인 AI 영상 공모전,서울특별시,정보 없음,정보 없음
2026 대구 남구 홍보 AI 영상 공모전,대구 남구,정보 없음,정보 없음
2026 가명정보 활용 경진대회,"개인정보보호위원회, 과학기술정보통신부, 보건복지부, 금융위원회",정보 없음,정보 없음
